_id,que,choiceA,choiceB,choiceC,choiceD,choiceE,kind,type,source,answer,detail
10001,参与体液免疫的最主要的细胞是,巨噬细胞,T细胞,B细胞,肥大细胞,空,组织胚胎学,单选,十门联考,C,由于效应T 细胞可以直接杀靶细胞，故T 细胞参与的免疫称细胞免疫；由于B 细胞以分泌抗体进入体液而执行免疫功能，故B 细胞介导的免疫称体液免疫。
10002,组成胆小管管壁的成分是,血窦内皮细胞,肝巨噬细胞,单层立方上皮细胞,肝细胞膜,空,组织胚胎学,单选,十门联考,D,胆小管是相邻两个肝细胞之间局部胞膜凹陷形成的微细管道，在肝板 内连接成网。
10003,在长骨中，体积最大的细胞是,骨细胞,成骨细胞,破骨细胞,骨祖（原）细胞,空,组织胚胎学,单选,十门联考,C,骨细胞细胞体变小，呈扁椭圆形，细胞器减少，突起延长；B 选项：成 骨细胞多呈矮柱状；C 选项：破骨细胞是一种巨大的多核细胞；骨祖细 胞是骨组织的干细胞
10004,妊娠期的子宫肌纤维长约,500μm,50μm,150μm,200μm,空,组织胚胎学,单选,十门联考,A,子宫平滑肌细胞长 30-50um，在妊娠时肌细胞增生肥大，长达 500-600um。
10005,脐尿瘘发生的原因是,集合管和远曲小管未接通,卵黄囊未闭锁,泄殖腔膜未破裂,脐尿管未闭锁,空,组织胚胎学,单选,十门联考,D,"A 选项:远曲小管与集合管未接通造成多囊肾；B 选项：卵黄囊（蒂） 闭锁不全是一种胚胎发育畸形,常表现为脐窦和脐茸、卵黄管囊肿、梅 克尔憩室、脐粪瘘等四种基本病态。C 选项：泄殖腔膜未破裂造成不通 肛。D 选项：脐尿瘘由于脐尿管未闭锁。故选择 D"
10006,被覆上皮的分类依据是,细胞的形态,细胞的层数,细胞的层数和形态,分布和功能,空,组织胚胎学,单选,十门联考,C,被覆上皮根据其构成细胞的层数和细胞的形状进行分类和命名。例： 单层扁平、单层立方、单层柱状上皮。
10007,触觉小体参与产生,冷热觉,痛觉,压觉,触觉,空,组织胚胎学,单选,十门联考,D,手指掌侧的真皮乳头内含较多触觉小体。触觉小体感受应力刺激，参与产生触觉；游离神经末梢参与产生冷、热、轻触和痛的感觉；环层 小体参与产生压觉和振动觉。
10008,多囊肾的形成原因是,肾盂与集合管未接通所造成,集合小管与远端小管未接通所造成,输尿管与肾盂未接通所造成,肾小管与肾小体未接通所造成,空,组织胚胎学,单选,十门联考,B,原因为远曲小管与集合管未接通，尿液便积聚在肾小管内，致使肾内 出现大小不等的囊泡。
10009,巨噬细胞在免疫应答中的主要作用是,合成和分泌抗体,抗原提呈作用,分泌生物活性物质,分泌生物活性物质,空,组织胚胎学,单选,十门联考,B,抗原呈递细胞主要有树突状细胞、巨噬细胞和 B 淋巴细胞
10010,疏松结缔组织中最主要的细胞是,成纤维细胞,巨噬细胞,肥大细胞,浆细胞,脂肪细胞,组织胚胎学,单选,十门联考,A,疏松结缔组织又称蜂窝组织，含有成纤维细胞（最主要的）、巨噬细 胞、浆细胞、肥大细胞、脂肪细胞、未分化的间充质细胞和白细胞等。
